time,havg,hmax,hmin
25.000099999955086,0.6014724557779926,,
25.000799999955085,0.6017034973793242,,
25.001499999955083,0.6019431674370097,,
25.00219999995508,0.6021902473178151,,
25.00299999995508,0.6024849040652609,,
25.003699999955078,0.6027455624335857,,
25.004399999955076,0.6030296978469619,,
25.005199999955074,0.6033347104302417,,
25.005899999955073,0.603577953237858,,
25.00659999995507,0.6038137043795797,,
25.00739999995507,0.6040822177232698,,
25.008099999955068,0.6043192746615876,,
25.008799999955066,0.6044392295213987,,
25.009399999955065,,0.70075000001241,
25.009599999955064,0.604711040251261,,
25.010299999955063,0.6049499720887549,,
25.010499999955062,,,0.5677499989875016
25.01079999995506,,0.70075000001241,
25.01099999995506,0.6051945003160009,,
25.01179999995506,0.6054870229731578,,
25.01189999995506,,,0.5677499989875016
25.012299999955058,,0.70075000001241,
25.012499999955057,0.6057507974258604,,
25.013199999955056,0.6060185530276511,,
25.013399999955055,,,0.5677499989875016
25.013799999955054,,0.70075000001241,
25.013999999955054,0.6063319767235722,,
25.014699999955052,0.6066108545755114,,
25.014799999955052,,,0.5677499989875016
25.01519999995505,,0.70075000001241,
25.01539999995505,0.6069015969753396,,
25.01609999995505,0.6072078696754054,,
25.01629999995505,,,0.5677499989875016
25.016699999955048,,0.70075000001241,
25.016899999955047,0.6076201552440975,,
25.017599999955046,0.607915483429446,,
25.017799999955045,,,0.5677499989875016
25.018199999955044,,0.70075000001241,
25.018299999955044,0.6082088341863906,,
25.019099999955042,0.6085618398304994,,
25.019199999955042,,,0.5677499989875016
25.01959999995504,,0.70075000001241,
25.01979999995504,0.6088814011297937,,
25.02049999995504,0.6092270026061128,,
25.02069999995504,,,0.5677499989875016
25.021099999955037,,0.70075000001241,
25.021299999955037,0.6095865380641731,,
25.021999999955035,0.6098977832133166,,
25.022199999955035,,,0.5677499989875016
25.022599999955034,,0.70075000001241,
25.022699999955034,0.6102067069831428,,
25.023499999955032,0.6105593238423571,,
25.02359999995503,,,0.5677499989875016
25.02399999995503,,0.70075000001241,
25.02419999995503,0.6108632967364812,,
25.02489999995503,0.611166413401264,,
25.025099999955028,,,0.5677499989875016
25.025499999955027,,0.70075000001241,
25.025699999955027,0.61151139276706,,
25.026399999955025,0.6118148571208193,,
25.026599999955025,,,0.5677499989875016
25.026999999955024,,0.70075000001241,
25.027099999955023,0.6121107322207326,,
25.02789999995502,0.6124493519952815,,
25.02799999995502,,,0.5677499989875016
25.02839999995502,,0.70075000001241,
25.02859999995502,0.6127430951461614,,
25.02929999995502,0.6130348234153401,,
25.029499999955018,,,0.5677499989875016
25.029899999955017,,0.70075000001241,
25.029999999955017,0.61333267663191,,
25.030799999955015,0.6136854563861771,,
25.030999999955014,,,0.5677499989875016
25.031399999955013,,0.70075000001241,
25.031499999955013,0.6139926271512768,,
25.03219999995501,0.6143001252602188,,
25.03239999995501,,,0.5677499989875016
25.03279999995501,,0.70075000001241,
25.03299999995501,0.614654485512951,,
25.033699999955008,0.6149646769353005,,
25.033899999955008,,,0.5677499989875016
25.034299999955007,,0.70075000001241,
25.034399999955006,0.6152808813404828,,
25.035199999955005,0.615642332732681,,
25.035399999955004,,,0.5677499989875016
25.035799999955003,,0.7007500003436774,
25.035899999955003,0.6159740762900885,,
25.036599999955,0.6163158752215662,,
25.036799999955,,,0.5677499989875016
25.037199999955,,0.7007500003436774,
25.037399999955,0.6167113546997088,,
25.038099999954998,0.6170592906871217,,
25.038299999954997,,,0.5677499989875016
25.038699999954996,,0.7007500003436774,
25.038799999954996,0.6174109145994794,,
25.039599999954994,0.617807582519893,,
25.039799999954994,,,0.5677499989875016
25.040199999954993,,0.7007500003436774,
25.040299999954993,0.6181536151836087,,
25.04099999995499,0.6184950096962849,,
25.04119999995499,,,0.5677499989875016
25.04159999995499,,0.7007500003436774,
25.04179999995499,0.6188822734933291,,
25.042499999954988,0.6192193702231679,,
25.042699999954987,,,0.5677499989875016
25.043099999954986,,0.7007500003436774,
25.043199999954986,0.6195416394850869,,
25.043899999954984,0.6198490292941636,,
25.044199999954984,,,0.5677499989875016
25.044599999954983,,0.7007500003436774,
25.044699999954982,0.6202690612850166,,
25.04539999995498,0.6206178723856965,,
25.04559999995498,,,0.5677499989875016
25.04599999995498,,0.7007500003436774,
25.04609999995498,0.620955971637925,,
25.046899999954977,0.6213494456283148,,
25.047099999954977,,,0.5677499989875016
25.047499999954976,,0.7007500003436774,
25.047599999954976,0.6216758665888944,,
25.048299999954974,0.6219934384580604,,
25.048599999954973,,,0.5677499989875016
25.048999999954972,,0.7007500003436774,
25.049099999954972,0.6223429982777153,,
25.04979999995497,0.622647105267097,,
25.04999999995497,,,0.5677499989875016
25.05039999995497,,0.7007500003436774,
25.05049999995497,0.6229489617816231,,
25.051299999954967,0.6232871998202597,,
25.051499999954967,,,0.5677499989875016
25.051899999954966,,0.7007500003436774,
25.051999999954965,0.6235831191807921,,
25.052699999954964,0.6238791498770935,,
25.052999999954963,,,0.5677499989875016
25.053399999954962,,0.7007500003436774,
25.053499999954962,0.6242283862423106,,
